keys,ts,en,it,pt,
WARNING_TEXT2,WARNING_TEXT2,"If you notice any symptoms of dizziness, discomfort and/or disorientation, stop playing immediately and consult with a doctor before resuming.","Se noti di avere sintomi di nausea, sconforto e stordimento, smettila di giocare e consulta un dottore prima di riiniziare a giocare.","Se notar algum sintoma como tonturas, desconforto e desorientação, pare de jogar imediatamente e consulte um médico antes de continuar.",
HEADPHONES_TEXT,HEADPHONES_TEXT,Headphones are highly recommended for the best experience,È altamente raccomandato l'uso delle cuffie per un esperienza migliore.,PARA UMA EXCELENTE EXPERIÊNCIA FONES DE OUVIDO SÃO ALTAMENTE RECOMENDADOS,
POWERED_BY,POWERED_BY,PROJECT LUMINEXT IS POWERED BY,PROJECT LUMINEXT È SVILUPPATO TRAMITE,PROJECT LUMINEXT FOI FEITO COM,
VERSION,VERSION,VER,VER,VERSÃO or VER,
BUILD,BUILD,BUILD,BUILD,BUILD,
PRESS_START,PRESS_START,PRESS START TO ENTER THE GAME,Premi START per iniziare,PRESSIONA START PARA ENTRAR,
PRESS_ENTER,PRESS_ENTER,PRESS ENTER TO START THE GAME,Premi ENTER per iniziare,PRESSIONA ENTER PARA INICIAR,
PRESS_ESC,PRESS_ESC,OR PRESS ESC TO EXIT,O premi ESC per uscire,OU ESC PARA SAIR,
,,,,,
-Main menu-,,,,,
CHALLENGE_MODE,CHALLENGE_MODE,Challenge mode,Modalità sfida,Modo campanha,
CHALLENGE_MODE_DESC,CHALLENGE_MODE_DESC,Complete a series of levels and unlock new skins in the process,Completa una serie di livelli e sblocca nuove skin,Completa uma serie de níveis e desbloqueia novas skins no processo,
PLAYLIST_MODE,PLAYLIST_MODE,Playlist mode,Modalità playlist,Modo playlist,
PLAYLIST_MODE_DESC,PLAYLIST_MODE_DESC,Create and play your own skin playlist,Crea e gioca la tua playlist personalizzata,escolhe e joga com as tuas skins favoritas,
TIME_ATTACK_MODE,TIME_ATTACK_MODE,Time attack mode,Modalità sfida a tempo,Ataque ao tempo,
TIME_ATTACK_MODE_DESC,TIME_ATTACK_MODE_DESC,Gain as many points as you can within the time limit,Ottieni il punteggio più alto possibile entro il tempo limite,Ganha o máximo de pontuação possível no tempo limite,
SYNTHESIA_MODE,SYNTHESIA_MODE,Synthesia mode,Modalità Synthesia,Modo sinestesia,
SYNTHESIA_MODE_DESC,SYNTHESIA_MODE_DESC,Play with your own music,Gioca con la tua musica,Cria a tua musica,
TUTORIAL_MODE,TUTORIAL_MODE,Tutorial mode,Modalità tutorial,Modo tutorial,
TUTORIAL_MODE_DESC,TUTORIAL_MODE_DESC,Learn about game mechanics and tactics,Vedi come funziona il gioco ed impara delle nuove strategie,Aprende o funcionamento basico do jogo e táticas,
SKIN_EDITOR,SKIN_EDITOR,Skin editor,Skin editor,Editor de skin,
SKIN_EDITOR_DESC,SKIN_EDITOR_DESC,Create your own custom skins,Crea le tue skin personalizzate,Cria as tuas skins personalizadas,
ADDON_EDITOR,ADDON_EDITOR,Addon editor,Addon editor,Editor de add-ons,
ADDON_EDITOR_DESC,ADDON_EDITOR_DESC,"Create your own addons, which can contain a lot of custom content inside",Crea le tue addon. Queste possono contenere all'interno un sacco di contenuto customizzato,"Adiciona os teus próprios add-ons, que podem conter muito conteúdo personalizado",
SOUND_REPLAY,SOUND_REPLAY,Skin player,Visualizza skin,Reprodutor de skin,
SOUND_REPLAY_DESC,SOUND_REPLAY_DESC,Load and watch any skin without gameplay. Like a good old screensaver!,Carica e guarda qualsiasi skin senza giocare. Proprio come in uno screensaver!,Carrega e vê qualquer skin sem ter de jogar. Como um daqueles protetores de ecrã!,
OPTIONS,OPTIONS,Options,Opzioni,Opções,
OPTIONS_DESC,OPTIONS_DESC,Edit audio/video/control/language settings,Imposta modifiche audio/video/input,Edita as definições de áudio/vídeo/controlos/linguagem,
STATISTICS,STATISTICS,Statistics,Statistiche,Estatísticas,
STATISTICS_DESC,STATISTICS_DESC,View your total statistics,Visualizza le tue statistiche,Vê as tuas estatísticas de jogo,
REPLAY_PLAYER,REPLAY_PLAYER,Replay player,Replay,Repetições,
REPLAY_PLAYER_DESC,REPLAY_PLAYER_DESC,Watch your saved game replays,Guarda i tuoi replay,Assiste os teus jogos gravados,
SCORE_RANKING,SCORE_RANKING,Score ranking,Classifica,Classificação de pontos,
SCORE_RANKING_DESC,SCORE_RANKING_DESC,View all your records in different gamemodes,Guarda tutti i tuoi record nelle diverse modalità di gioco,Vê todos os recordes em diferentes modos de jogo,
PROFILE_EDIT,PROFILE_EDIT,Profile edit,Modifica profilo,Editar perfil,
PROFILE_EDIT_DESC,PROFILE_EDIT_DESC,"Change what profile you're using, or create a new one",Cambia il tuo profilo o crea uno nuovo,Muda o perfil que estás a usar ou cria um novo,
COMMUNITY,COMMUNITY,Community,Community,Comunidade,
COMMUNITY_DESC,COMMUNITY_DESC,"Learn about this project's community, and how you can contribute to it",Vieni a sapere del nostro progetto e come puoi contribuire ad esso,Saiba mais sobre a comunidade deste projeto e como podes contribuir,
CREDITS,CREDITS,Credits,Riconoscimenti,Créditos,
CREDITS_DESC,CREDITS_DESC,Learn about this game's creators,Vedi gli sviluppatori del gioco,Saiba mais sobre os criadores deste jogo,
CREDITS_ARROW,CREDITS_ARROW,Project Luminext credits,Project Luminext: Riconoscimenti,Créditos do Project Luminext,
EXIT,EXIT,Exit,Esci,Sair,
EXIT_DESC,EXIT_DESC,Exit this game,Esci dal gioco,Sair deste jogo,
EXIT_DIALOG,EXIT_DIALOG,Are you sure you want to exit from this game?,Sei sicuro di voler uscire?,Tens a certeza que queres sair jogo?,
SINGLEPLAYER,SINGLEPLAYER,Singleplayer,Singolo,Jogador único,
SINGLEPLAYER_DESC,SINGLEPLAYER_DESC,Select & play singleplayer gamemodes,Seleziona modalità di gioco per un solo giocatore.,Seleciona & joga nos modos solo,
CONTENT,CONTENT,Custom Content,Modding,Conteudo personalizado,
CONTENT_DESC,CONTENT_DESC,Create & manage content for this game using various editors,Organizza e crea contenuto per il gioco con i vari editor,Cria e gerencia conteúdo para este jogo usando vários editores,
PROFILE,PROFILE,Profile,Profilo,Perfil,
PROFILE_DESC,PROFILE_DESC,View/edit your current profile info,Vedi/modifica il tuo profilo,Vê/edita os teus dados de perfil atuais,
EXTRAS,EXTRAS,Extras,Extra,Extras,
EXTRAS_DESC,EXTRAS_DESC,Miscellaneous menu options,Altre informazioni,Diversas opções de menu,
MENU,MENU,Menu,Menu,Menu,
,,,,,
-Community-,,,,,
COMMUNITY_TEXT1,COMMUNITY_TEXT1,"If you liked this game a lot, we invite you to join our official Project Luminext Discord server!","Se ti è piaciuto questo gioco un sacco, ti invitiamo ad unirci al nostro Discord ufficiale del progetto Luminext!","Se gostate muito deste jogo, convidamos-te a juntar ao nosso servidor oficial do Project Luminext no Discord!",
COMMUNITY_TEXT2,COMMUNITY_TEXT2,There you'll find:,Puoi trovare:,Lá encontraras:,
COMMUNITY_TEXT3,COMMUNITY_TEXT3,- Custom skins and other mods made by our community members,Skin customizzate e altre mod create dai nostri membri della community,- Skins personalizadas e outros mods feitos por membros da nossa comunidade,
COMMUNITY_TEXT4,COMMUNITY_TEXT4,- A way to easily do bug-reports and suggestions,Un metodo più facile per fare bug-reporting ed esprimere un'idea,- Uma maneira de fazer facilmente relatórios de bugs e sugestões,
COMMUNITY_TEXT5,COMMUNITY_TEXT5,- Discussions about game mechanics and what pizza flavour is best,Discussioni riguardo alle meccaniche di gioco e quale pizza è la migliore,- Discussões sobre a mecânica do jogo e qual é o melhor sabor de pizza,
COMMUNITY_TEXT6,COMMUNITY_TEXT6,- News about game development progress,Notizie riguardo allo sviluppo del gioco,- Notícias sobre o progresso e desenvolvimento do jogo,
COMMUNITY_TEXT7,COMMUNITY_TEXT7,"You can also visit our game official GitHub repository, since this project is open-source.","Puoi anche visitare i nostri GitHub ufficiali, dato che il nostro progetto è open-source","Podes também visitar o nosso repositório GitHub oficial do jogo, já que este projeto é de código aberto.",
COMMUNITY_INVITE1,COMMUNITY_INVITE1,Visit discord server,Visita il server Discord,Visite-nos no discord,
COMMUNITY_INVITE2,COMMUNITY_INVITE2,Visit GitHub repository,Visita la pagina Github,Visite o nosso Github,
COMMUNITY_NO_THANKS,COMMUNITY_NO_THANKS,No thanks,No grazie,Não obrigado,
COMMUNITY_ARROW,COMMUNITY_ARROW,COMMUNITY/MEDIA INFO,INFO COMMUNITY/MEDIA,INFORMAÇÕES SOBRE COMUNIDADE/MÍDIA,
,,,,,
-Replay Player-,,,,,
SELECT_REPLAY,SELECT_REPLAY,Select replay to watch,Seleziona replay da guardare,Seleciona uma repetição para ver,
REPLAY_PLAYER_ARROW,REPLAY_PLAYER_ARROW,REPLAY LIST,LISTA REPLAY,LISTA DE REPETIÇÕES,
,,,,,
-Login-,-Login-,,,,
LOGIN,LOGIN,Login,Login,Iniciar sessão,
LOGIN_WELCOME1,LOGIN_WELCOME1,Welcome to Project Luminext!,Benvenuto su Project Luminext!,Bem-vindo ao Projeto Luminext!,
LOGIN_WELCOME2,LOGIN_WELCOME2,You must create a new profile in order to continue.,Devi creare un nuovo profilo prima di continuare,Tens de criar um novo perfil para continuar.,
LOGIN_DATA_ERROR,LOGIN_DATA_ERROR,"Your previous profile was corrupted, and could not be loaded.",Il profilo selezionato risulta sconosciuto. I dati sono corrotti,O perfil usado anteriormente é desconhecido devido à corrupção global de dados.,
LOGIN_PROFILE_MISSING,LOGIN_PROFILE_MISSING,Your previous profile was not found.,Il profilo selezionato risulta mancante!,O perfil anteriormente usado está ausente!,
LOGIN_SAVEDATA_MISSING,LOGIN_SAVEDATA_MISSING,Warning! Previously used profile save data is missing!,Attenzione! Dati di salvataggio per il profilo selezionato risultano mancanti!,Aviso! Os dados salvos do perfil usado anteriormente não foram encontrados!,
LOGIN_SAVEDATA_CORRUPT,LOGIN_SAVEDATA_CORRUPT,Warning! Previously used profile save data is corrupted!,Attenzione! Dati di salvataggio per il profilo selezionato risultano corrotti!,Aviso! Os dados salvos do perfil usados ​​anteriormente estão corrompidos!,
LOGIN_SELECT_OPTION,LOGIN_SELECT_OPTION,Select option,Seleziona opzione,Selecionar opção,
LOGIN_EXIT,LOGIN_EXIT,Exit from the game,Esci dal gioco,Sair do jogo,
LOGIN_ARROW,LOGIN_ARROW,LOGIN SCREEN,SCHERMATA LOGIN,ECRÃ DE INICIO DE SESSÃO,
,,,,,
-Profile edit-,,,,,
PE_CREATE_NEW,PE_CREATE_NEW,Create new profile,Crea nuovo profilo,Criar novo perfil,
PE_CREATE_NEW_DESC,PE_CREATE_NEW_DESC,Create brand new profile.,Crea un nuovo profilo,Crie um novo perfil.,
PE_CREATE_DIALOG,PE_CREATE_DIALOG,Enter new profile name,Inserisci il nome del nuovo profilo,,Introduz o novo nome do perfil
PE_DELETE,PE_DELETE,Delete profile,Elimina profilo,Excluir perfil,
PE_DELETE_DESC,PE_DELETE_DESC,Delete existing profile.,Elimina un profilo esistente,Excluir perfil,
PE_DELETE_DIALOG,PE_DELETE_DIALOG,Are you sure you want to delete this profile?,Sei sicuro di rimuovere questo profilo?,Tens a certeza que queres excluir este perfil?,
PE_SELECT_OPTION,PE_SELECT_OPTION,Select profile to load,Seleziona profilo,Seleciona o perfil para carregar,
PE_DELETE_OPTION,PE_DELETE_OPTION,Select profile to delete,Seleziona profilo da rimuovere,Seleciona o perfil para excluir,
PE_ARROW,PE_ARROW,PROFILE SELECT/EDIT MENU,SELEZIONE/MODIFICA PROFILO,MENU DE SELEÇÃO/EDIÇÃO DE PERFIL,
PE_NO_PROFILES,PE_NO_PROFILES,NO PROFILES FOUND,NESSUN PROFILO TROVATO,PERFIS NÃO ENCONTRADOS,
PE_SELECT,PE_SELECT,Select this profile.,Seleziona questo profilo,Selecione este perfil.,
PE_MISSING,PE_MISSING,PROFILE IS MISSING!,PROFILO MANCANTE!,PERFIL EM FALTA!,
PE_SAVEDATA_MISSING,PE_SAVEDATA_MISSING,PROFILE SAVE DATA IS MISSING!,DATI DI SALVATAGGIO RISULTANO MANCANTI!,DADOS SALVOS DO PERFIL EM FALTA!,
PE_SAVEDATA_CORRUPT,PE_SAVEDATA_CORRUPT,PROFILE SAVE DATA IS CORRUPTED!,DATI DI SALVATAGGIO SONO CORROTTI!,OS DADOS SALVOS DE PERFILA ESTÃO CORROMPIDOS!,
PE_LOADING_FAILED,PE_LOADING_FAILED,LOADING FAILED,CARICAMENTO NON RIUSCITO,O CARREGANETO FALHOU!,
PE_CONFIG_MISSING,PE_CONFIG_MISSING,Warning! This profile’s config file is missing. Continue anyways?,Attenzione! Il file config di questo profilo risulta mancante. Continuare?,Aviso! Este ficheiro de configuração de perfil está em falta. Continuar?,
PE_CANCEL_DELETE,PE_CANCEL_DELETE,Cancel deletion,Cancella Eliminazione,Cancelar exclusão,
PE_MUST_SELECT,PE_MUST_SELECT,You must select or create a profile in order to continue,Devi selezionare o creare un profilo per continuare,Tens de selecionar ou criar um perfil para continuar,
PE_CURRENT,PE_CURRENT,[CURRENT],[SELEZIONATO],,[ATUAL]
,,,,,
-Statistics-,,,,,
STATS_ARROW,STATS_ARROW,PROFILE STATISTICS DATA,STATISTICHE DEL PROFILO,DATA DE ESTATÍSTICA DO PERFIL,
STATS_TOTAL_TIME,STATS_TOTAL_TIME,Total time,Tempo trascorso,Tempo total,
STATS_TOTAL_PLAY_TIME,STATS_TOTAL_PLAY_TIME,Total gameplay time,Tempo totale di gioco,Tempo total de jogo,
STATS_SCORE,STATS_SCORE,Total score,Punteggio totale,Total de pontuação,
STATS_SQUARES_ERASED,STATS_SQUARES_ERASED,Total squares erased,Quadrati eliminati,Total de quadrados apagados,
STATS_BLOCKS_ERASED,STATS_BLOCKS_ERASED,Total blocks erased,Blocchi eliminati,Total de blocos apagados,
STATS_SPECIAL_BLOCKS_USED,STATS_SPECIAL_BLOCKS_USED,Total special blocks used,Blocchi speciali utilizzati,Total de blocos especiais usados,
STATS_PIECE_SWAPS,STATS_PIECE_SWAPS,Total piece swaps used,Scambi eseguiti,Total de trocas de peça usadas,
STATS_SQUARE_GROUP,STATS_SQUARE_GROUP,Top erased square group size,Maggior numero di quadrati eliminati in un passaggio,Maior grupo de quadrados apagados,
STATS_SQUARE_PER_SWEEP,STATS_SQUARE_PER_SWEEP,Top square erased per timeline sweep,Maggior numero di quadrati eliminati per passaggio,Maior numero de quadrados apagados numa só passagem,
STATS_COMBO,STATS_COMBO,Top combo,Combo più lunga,A maior combo,
STATS_SCORE_GAIN,STATS_SCORE_GAIN,Top score gain,Maggior punteggio ricevuto,Máximo de pontos ganhos,
STATS_GAMEPLAY_TIME,STATS_GAMEPLAY_TIME,Top time spent in single game,Maggior tempo trascorso in una singola partita,Máximo de tempo passado no modo solo,
STATS_4X_BONUSES,STATS_4X_BONUSES,Total 4X bonuses,Bonus ×4 totali,Total de bónus 4X,
STATS_SINGLE_COLOR,STATS_SINGLE_COLOR,Total single color bonuses,Pulizie a singolo colore,Total de bónus de cor única,
STATS_ALL_CLEAR,STATS_ALL_CLEAR,Total all clear bonuses,Pulizie complete,Total de bónus tudo limpo,
STATS_TA_RETRY,STATS_TA_RETRY,Total time attack mode attempts count,Numero di tentativi totali nella modalità a tempo,Total de tentativas no modo ataque ao tempo,
STATS_TA_TOP_RETRY,STATS_TA_TOP_RETRY,Top time attack mode attempts streak,Maggior numero di tentativi consecutivi nella modalità a tempo,Máximo de tentativas no modo ataque ao tempo,
STATS_TA_TOTAL_TIME,STATS_TA_TOTAL_TIME,Total time spent in time attack mode,Tempo trascorso nella modalità a tempo,Tempo total no modo ataque ao tempo,
STATS_TOTAL_SE_TIME,STATS_TOTAL_SE_TIME,Total time spent in skin editor,Tempo trascorso nell'editor,Tempo total no editor de skin,
STATS_TOTAL_SE_LOADS,STATS_TOTAL_SE_LOADS,Total skin loads in skin editor,Caricamenti eseguiti nell'editor,Total de carregamentos do skin no editor de skin,
,,,,,
-Options-,,,,,
AUDIO,AUDIO,Audio,Audio,Áudio,
AUDIO_DESC,AUDIO_DESC,Open audio settings tab.,Apri le impostazioni audio,Abre a secção de definições de áudio,
VIDEO,VIDEO,Video,Video,Vídeo,
VIDEO_DESC,VIDEO_DESC,Open video settings tab.,Apri le impostazioni video,Abre a secção das definições de vídeo,
CONTROLS,CONTROLS,Controls,Controlli,Controlos,
CONTROLS_DESC,CONTROLS_DESC,Open control assign tab.,Apri le impostazioni controlli,Abre a secção de mapeamento de controlos,
LANGUAGE,LANGUAGE,Language,Lingua,Linguagem,
LANGUAGE_DESC,LANGUAGE_DESC,Open language select tab.,Apri le impostazioni lingua,Abre a secção das definições de linguagem,
APPLY,APPLY,Apply,Applica,Aplicar,
APPLY_DESC,APPLY_DESC,Apply and save all changes and return to previous menu screen.,Applica e salva tutti i cambiamenti e ritorna al menu precedente,Aplicar e salvar todas as alterações e voltar ao menu,
RESET_CHANGES,RESET_CHANGES,Reset changes,Reimposta,Repor alterações,
RESET_CHANGES_DESC,RESET_CHANGES_DESC,Reset all current tab changes.,Resetta tutte le opzioni eseguite a quelle di prima,Repor todas as alterações feitas na secção atual,
RESET_TO_STANDARD,RESET_TO_STANDARD,Reset to standard,Reimposta a standard,Repor definições,
RESET_TO_STANDARD_DESC,RESET_TO_STANDARD_DESC,Reset all current tab settings to standard.,Resetta tutte le impostazioni a quelle standard,Repor para a definições padrão,
CANCEL,CANCEL,Cancel,Indietro,Cancelar,
CANCEL_DESC,CANCEL_DESC,Cancel all changes and return to previous menu screen.,Annulla tutti i cambiamenti eseguiti e ritorna al menu precedente,Cancelar todas as alterações e voltar ao menu,
OPTIONS_ARROW1,OPTIONS_ARROW1,OPTIONS SELECT,SELEZIONE OPZIONI,SELEÇÃO DE OPÇÕES,
OPTIONS_ARROW2,OPTIONS_ARROW2,DESCRIPTION,DESCRIZIONE,DESCRÇÃO,
OPTIONS_ARROW3,OPTIONS_ARROW3,AUDIO SETTINGS,IMPOSTAZIONI AUDIO,DEFINIÇÕES DE ÀUDIO,
OPTIONS_ARROW4,OPTIONS_ARROW4,VIDEO SETTINGS,IMPOSTAZIONI VIDEO,DEFINIÇÕES DE VIDEO,
OPTIONS_ARROW5,OPTIONS_ARROW5,CONTROL ASSIGN,ASSEGNA TASTI,MAPEAR CONTRLOS,
OPTIONS_ARROW6,OPTIONS_ARROW6,LANGUAGE SELECT,SELEZIONE LINGUA,SELEÇÃO DE LINGUAGEM,
,,,,,
-Audio settings-,,,,,
MUSIC_VOLUME,MUSIC_VOLUME,Music volume,Volume musica,Volume da musica,
MUSIC_VOLUME_DESC,MUSIC_VOLUME_DESC,Change game/menu music volume.,Cambia il volume della musica,Muda o volume da musica do menu/jogo,
SFX_VOLUME,SFX_VOLUME,Sound volume,Volume audio,Volume de sons,
SFX_VOLUME_DESC,SFX_VOLUME_DESC,Change game/menu sound effects volume.,Cambia il bolume dei suoni,Muda o volume dos efeitos sonoros do menu/jogo,
AUDIO_DEVICE,AUDIO_DEVICE,Audio device,Dispositivo audio,Dispositivo de áudio,
AUDIO_DEVICE_DESC,AUDIO_DEVICE_DESC,Select your output audio device.,Seleziona il tuo dispositivo output di audio,Seleciona o teu dispositivo de saída de áudio,
ANNOUNCER,ANNOUNCER,Announcer,Annunciatore,Anunciante,
ANNOUNCER_DESC,ANNOUNCER_DESC,Change how much you wanna hear our awesome announcer voice.,Cambia quanto vuoi sentire la voce del nostro grande annunciatore,Muda o quão alto queres ouvir a nossa bela vaz de anunciador,
ANNOUNCER1,ANNOUNCER1,OFF,OFF,DESLIGADO,
ANNOUNCER2,ANNOUNCER2,MENU_ONLY,SOLO MENU,MENU_APENAS,
ANNOUNCER3,ANNOUNCER3,GAME_ONLY,SOLO GIOCO,JOGO_APENAS,
ANNOUNCER4,ANNOUNCER4,ALL,ON,TUDO,
POS_SOUND,POS_SOUND,Positional sound,Stereo posizionale,Som posicional,
POS_SOUND_DESC,POS_SOUND_DESC,Make all game sound effects appear sounding from source position.,Rende il volume dei suoni del gioco dipendente dalla loro posizione nello shcermo,Faz com que todos os sons pareçam ser emitidos dessa posição,
SEQ_SOUNDS,SEQ_SOUNDS,Sequential sounds,Suoni in sequenza,Sons sequenciais,
SEQ_SOUNDS_DESC,SEQ_SOUNDS_DESC,"Make some game sound effects, which contain multiple samples, play specific sound on certain events instead of choosing sound randomly (ex. squares explosion sound will be different depending on deleted squares count)","Fa si che alcuni suoni del gioco, con sample multipli, suonare solo in certi casi anziché casualmente (Es. Il suono dell'esplosione dei quadrati dipende dal numero di quadrati cancellati)",,
SKIN_PREVIEW,SKIN_PREVIEW,Skin preview,Anteprima della skin,Pre visualização de skins,
SKIN_PREVIEW_DESC,SKIN_PREVIEW_DESC,Make skin preview play in menu when skin is selected,Abilita l'anteprima della muscia quando la skin è selezionata,Apresenta no menu a pré visualização da skin quando selecionada,
SYNC_SFX,SYNC_SFX,Sync all sounds,Suoni ritmici,Sincronizar todos os sons,
SYNC_SFX_DESC,SYNC_SFX_DESC,Make all game sound effects sync to song BPM instead of specific ones,Fa sì che tutti i suoni sono a ritmo della musica,Faz com que todos os efeitos sonoros estejam sincronizados com o BPM ao invés de sons específicos,
DEFAULT,DEFAULT,Default,Default,Padrão,
,,,,,
-Video settings-,,,,,
VS_LABEL1,VS_LABEL1,Display settings,Impostazioni display,Mostrar definições,
VS_LABEL2,VS_LABEL2,Gameplay,Gameplay,Jogabilidade,
VS_LABEL3,VS_LABEL3,Tweaks & optimization,Accessibilità e ottimizzazione,Ajustes & optimização,
RESOLUTION,RESOLUTION,Resolution,Risoluzione,Resolução,
RESOLUTION_DESC,RESOLUTION_DESC,Change game resolution in windowed mode.,Cambia la risoluzione del gioco quando viene visualizzato in una finestra,Muda a resolução quando no modo janela,
FULLSCREEN,FULLSCREEN,Fullscreen,Fullscreen,Ecrã inteiro,
FULLSCREEN_DESC,FULLSCREEN_DESC,Enable fullscreen mode. Can be toggled anytime by pressing the F11 key.,Abilita il fullscreen. Può essere abilitato e disabilitato ogni volta che si preme F11,Ativa o ecrã inteiro. Pode ser ativado a qualquer altura pressionando F11,
FPS_LIMIT,FPS_LIMIT,FPS Limit,Limite FPS,Limite de FPS,
FPS_LIMIT_DESC,FPS_LIMIT_DESC,"Limit game FPS to certain value. Helps saving performance since lower FPS limit is, less GPU is being used. You can check current FPS by pressing F1. If you experience stutters, try setting this value slightly higher than your monitor refresh rate.","Limita il FPS ad un certo valore. Aiuta a la performance dato che minore il limite del FPS è, minore sarà il GPU usato. Puoi controllare il FPS premendo F2. Se stai incontrando dei problemi, prova ad impostare questo valore leggermente più grande della tua velocità di refresh","Limite os FPS do jogo a um certo valor. Ajuda a economizar desempenho, pois quanto menor o limite de FPS, menos GPU será usada. Podes verificar o FPS atual pressionando F1. Se tiveres travagens, tenta definir esse valor um pouco mais alto do que a taxa de atualização do teu monitor.",
BLOCK_ANIM,BLOCK_ANIM,Block animations,Animazione blocchi,Animações dos blocos,
BLOCK_ANIM_DESC,BLOCK_ANIM_DESC,Allow each block to play animation depending on current music beat.,Permetti ad ogni blocco di essere animato,Permite que cada bloco reproduza me animação dependendo da batida da música atual.,
BLOCK_TRAIL,BLOCK_TRAIL,Block trail,Scia dei blocchi,Rasto dos blocos,
BLOCK_TRAIL_DESC,BLOCK_TRAIL_DESC,Enables block and piece trails effects.,Abilita la scia dei blocchi e dei pezzi,Ativa efeitos de rasto nos blocos e peças.,
FX_QUALITY,FX_QUALITY,Effects quality,Qualità degli effetti,Qualidade dos efeitos,
FX_QUALITY_DESC,FX_QUALITY_DESC,Change special in-game effects quality. Decreasing this value might help to improve game field visibility and your device performance.,Cambia la qualità degli effetti. Una qualità minore potrebbe migliorare la visibilità e la performance del tuo dispositivo,Altera a qualidade dos efeitos especiais no jogo. Diminuir este valor pode ajudar a melhorar a visibilidade do campo de jogo e o desempenho no seu dispositivo.,
SQUARES_QUALITY,SQUARES_QUALITY,Squares quality,Qualità dei quadrati,Qualidade dos quadrados,
SQUARES_QUALITY_DESC,SQUARES_QUALITY_DESC,Change squares animation quality. Decreasing this value might help to improve game field visibility.,Cambia la qualità dei quadrati. Una qualità minore potrebbe migliorare la visibilità,Altera a qualidade da animação dos quadrados. Diminuir este valor pode ajudar a melhorar a visibilidade do campo de jogo.,
QUALITY_1,QUALITY_1,Minimal,Minimo,Minimalista,
QUALITY_2,QUALITY_2,Low,Bassa,Baixo,
QUALITY_3,QUALITY_3,Medium,Media,Medio,
QUALITY_4,QUALITY_4,High,Alta,Alto,
QUALITY_5,QUALITY_5,Excellent,Eccellente,Excelente,
BACK_FX,BACK_FX,Background effects,Effetti su sfondo,Efeitos de fundo,
BACK_FX_DESC,BACK_FX_DESC,Makes all in-game special effects play on background layer instead of foreground. Enabling this improves game field visibility.,"Sposta tutti gli effetti speciali sullo sfondo che sulla griglia, migliorando la visibilità",Faz com que todos os efeitos especiais do jogo sejam reproduzidos na camada de fundo ao invés de em primeiro plano. Isto melhora a visibilidade do campo de jogo.,
EQ_VISUALIZER,EQ_VISUALIZER,Audio visualizer,Visualizzatore audio,Visualizador de áudio,
EQ_VISUALIZER_DESC,EQ_VISUALIZER_DESC,Enable in-game background audio visualizer.,Abilita il visualizzatore audio sullo sfondo,Ativa o visualizador de áudio de fundo do jogo.,
